"Milk production and utilization c 1"
"Frequency: Monthly"
"Table: 32-10-0113-01 (formerly CANSIM 003-0011)"
"Release date: 2025-06-10"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada"
"Dairy distribution 2","Reference period"
,,"Kilolitres"
,"April 2021","786,181"
,"May 2021","810,347"
,"June 2021","789,832"
,"July 2021","815,331"
,"August 2021","807,644"
,"September 2021","774,264"
,"October 2021","789,249"
,"November 2021","760,978"
,"December 2021","775,290"
,"January 2022","789,246"
,"February 2022","718,551"
,"March 2022","794,679"
,"April 2022","782,117"
,"May 2022","817,892"
,"June 2022","788,008"
,"July 2022","809,262"
,"August 2022","807,005"
,"September 2022","782,309"
,"October 2022","806,528"
,"November 2022","779,985"
,"December 2022","804,030"
,"January 2023","809,797"
,"February 2023","732,993"
,"March 2023","805,134"
,"April 2023","792,917"
,"May 2023","821,111"
,"June 2023","801,332"
,"July 2023","826,517"
,"August 2023","813,780"
,"September 2023","777,980"
,"October 2023","796,500"
,"November 2023","763,330"
,"December 2023","789,750"
,"January 2024","803,098"
,"February 2024","760,581"
,"March 2024","819,861"
,"April 2024","796,959"
,"May 2024","823,558"
,"June 2024","795,313"
,"July 2024","815,279"
,"August 2024","822,124"
,"September 2024","796,790"
,"October 2024","815,671"
,"November 2024","786,171"
,"December 2024","809,573"
,"January 2025","815,897"
,"February 2025","749,893"
,"March 2025","827,976"
"Fluid purposes","January 2000","233,201"
,"February 2000","230,613"
,"March 2000","245,699"
,"April 2000","227,295"
,"May 2000","239,814"
,"June 2000","233,511"
,"July 2000","219,540"
,"August 2000","236,186"
,"September 2000","235,268"
,"October 2000","244,078"
,"November 2000","239,304"
,"December 2000","244,697"
,"January 2001","240,787"
,"February 2001","221,051"
,"March 2001","246,450"
,"April 2001","228,506"
,"May 2001","239,978"
,"June 2001","224,458"
,"July 2001","224,237"
,"August 2001","240,041"
,"September 2001","226,501"
,"October 2001","247,653"
,"November 2001","240,545"
,"December 2001","242,591"
