"Dairy distribution","Reference period","Kilolitres"
"Industrial purposes","April 2024","572,584"
"Industrial purposes","May 2024","596,044"
"Industrial purposes","June 2024","588,898"
"Industrial purposes","July 2024","589,834"
"Industrial purposes","August 2024","600,552"
"Industrial purposes","September 2024","577,881"
"Industrial purposes","October 2024","577,143"
"Industrial purposes","November 2024","561,431"
"Industrial purposes","December 2024","575,669"
"Industrial purposes","January 2025","586,680"
"Industrial purposes","February 2025","540,473"
"Industrial purposes","March 2025","605,251"

